intent_리필쿠폰_사용_멀티턴	리필 쿠폰은 어디에서 충전할 수 있나요?				
intent_리필쿠폰_사용_멀티턴	리필쿠폰 사용하는 방법 알려주세요.				
intent_리필쿠폰_사용_멀티턴	리필쿠폰으로 충전하고 싶어요.				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 있는 거 어떻게 써요?				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 있는 걸로 충전 부탁합니다				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰으로 충전하려는데요				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰으로 충전 어떻게 하나요?				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 어떻게 충전하는 건가요?				
intent_리필쿠폰_사용_멀티턴	저 리필 쿠폰으로 충전 좀 하고 싶어요				
intent_리필쿠폰_사용_멀티턴	쿠폰 사용하는 법 질문이요				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 가지고 있는거 어떻게 쓰나요?				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 다 써버리고 싶은데				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰이 있다는데 다 써버릴래요				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 써보고 싶은데요				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 어떻게 쓰는지 문의합니다				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 사용 방법 알아보기				
intent_리필쿠폰_사용_멀티턴	저 리필 쿠폰 쓰는 법 좀 알려주세요				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 이용하려면 어떻게 하나요?				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 이용 어디서 할 수 있나요?				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 쓰려먼 어떻게 해야되는지				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 있는 거 좀 쓰려는데요				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 써서 충전 어떻게 하나요?				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 좀 써 버리려고요				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 있는 것 좀 쓸려고 하는데요				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 가지고 충전하려고요				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 이용해서 충전할게요				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 이용해서 충전 어떻게 하나요?				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 갖고 충전하는 방법				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 사용 방법이 어떻게 되나요?				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰이 와 있다는데 어디에 쓰는 거예요?				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰이 있다는데요 뭐에 쓰는 건가요?				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰은 뭐에 쓰는 건지?				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰은 어떻게 사용하면 되나요?				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 어디다 쓰면 돼요?				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 뭐에 쓰는 거예요?				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 지급받았는데 어떻게 써요?				
intent_리필쿠폰_사용_멀티턴	리필 쿠폰 이걸로 충전하는데 어떻게 써요?				
